"	date",id_station,id_parameter,value,unit
20/01/2018,SAG,PM2.5,35,2
20/01/2018,TAH,PM10,50,2
20/01/2018,UAX,PM2.5,23,2
20/01/2018,VIF,PM10,78,2
20/01/2018,XAL,PM10,125,2
20/01/2018,XAL,PM2.5,45,2
20/01/2018,CCA,PM2.5,16,2
20/01/2018,MGH,PM10,43,2
20/01/2018,MGH,PM2.5,22,2
20/01/2018,AJM,PM10,32,2
20/01/2018,AJM,PM2.5,14,2
20/01/2018,BJU,PM10,46,2
20/01/2018,BJU,PM2.5,23,2
20/01/2018,INN,PM10,13,2
20/01/2018,INN,PM2.5,7,2
20/01/2018,GAM,PM2.5,39,2
21/01/2018,ACO,PM10,73,2
21/01/2018,AJU,PM2.5,13,2
21/01/2018,ATI,PM10,37,2
21/01/2018,CAM,PM10,54,2
21/01/2018,CAM,PM2.5,23,2
21/01/2018,CUA,PM10,23,2
21/01/2018,CUT,PM10,54,2
21/01/2018,FAC,PM10,26,2
21/01/2018,HGM,PM10,44,2
21/01/2018,HGM,PM2.5,21,2
21/01/2018,IZT,PM10,50,2
21/01/2018,MER,PM10,35,2
21/01/2018,MER,PM2.5,27,2
21/01/2018,NEZ,PM2.5,29,2
21/01/2018,SAG,PM10,71,2
21/01/2018,SAG,PM2.5,31,2
21/01/2018,TAH,PM10,51,2
21/01/2018,TLA,PM10,51,2
21/01/2018,TLA,PM2.5,25,2
21/01/2018,UAX,PM2.5,22,2
21/01/2018,VIF,PM10,75,2
21/01/2018,CCA,PM2.5,14,2
21/01/2018,MGH,PM10,37,2
21/01/2018,MGH,PM2.5,20,2
21/01/2018,AJM,PM10,28,2
21/01/2018,AJM,PM2.5,13,2
21/01/2018,BJU,PM10,40,2
21/01/2018,BJU,PM2.5,20,2
21/01/2018,INN,PM10,13,2
21/01/2018,INN,PM2.5,6,2
21/01/2018,GAM,PM2.5,29,2
22/01/2018,ACO,PM10,86,2
22/01/2018,AJU,PM2.5,17,2
22/01/2018,ATI,PM10,64,2
22/01/2018,CAM,PM10,78,2
22/01/2018,CAM,PM2.5,29,2
22/01/2018,CUA,PM10,32,2
22/01/2018,CUT,PM10,82,2
22/01/2018,FAC,PM10,46,2
22/01/2018,HGM,PM10,59,2
22/01/2018,HGM,PM2.5,21,2
22/01/2018,IZT,PM10,67,2
22/01/2018,MER,PM10,52,2
22/01/2018,MER,PM2.5,31,2
22/01/2018,NEZ,PM2.5,32,2
22/01/2018,SAG,PM10,75,2
22/01/2018,SAG,PM2.5,26,2
22/01/2018,TAH,PM10,59,2
22/01/2018,TLA,PM10,60,2
22/01/2018,TLA,PM2.5,28,2
22/01/2018,UAX,PM2.5,22,2
22/01/2018,VIF,PM10,89,2
22/01/2018,CCA,PM2.5,19,2
22/01/2018,MGH,PM10,51,2
22/01/2018,MGH,PM2.5,23,2
22/01/2018,AJM,PM10,35,2
22/01/2018,AJM,PM2.5,14,2
22/01/2018,BJU,PM10,55,2
